industry,industry_uuid,category,subcategory_1,subcategory_2,uuid,name,description,price,cost,taxable,unit_of_measure,task_code,online_booking_enabled
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Appliances,"","",olit_76a20f9f529e45eab74ca115ce4fdd55,"Install dryer cord, 4 wire up to 6 ft","Let us set up your dryer with a new 4-wire cord up to 6 ft long. This ensures a safe connection that meets the latest electrical codes, including a dedicated ground wire for added safety. We'll check the voltage and amperage to ensure your dryer runs efficiently and lasts longer.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_0,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Appliances,"","",olit_04eb302904c84612b598c7862b6b1a49,"Install range cord, 4 wire, 6 ft",Ensure your electric range is connected safely and efficiently with a new 4-wire cord up to 6 ft long. This setup includes a dedicated ground wire to protect your home and appliances. We'll make sure the voltage and amperage are just right for optimal cooking performance.,$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_1,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Appliances,"","",olit_79bbebe746394b1395daa3d2d0334ec7,"Install microwave outlet, install 20A 120V circuit, up to 40 ft, accessible","Get a new 20-amp, 120-volt circuit and outlet installed for your microwave, extending up to 40 ft through accessible areas. This dedicated setup prevents power overload and ensures your microwave operates reliably. We'll handle all the technical details to keep your kitchen powered safely.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_2,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Appliances,"","",olit_917a0fbaa2c54d3f908642864714b08f,"Install dishwasher, hard wire to existing with disconnect","We'll safely wire your dishwasher into your home's electrical system, complete with a disconnect switch for easy maintenance. This ensures your dishwasher is securely powered, meets electrical codes, and performs efficiently with the right amount of electricity.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_3,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Appliances,"","",olit_e30e0b8fd3b643c5b893a1c1343d0bd6,"Install garbage disposal, cord connected up to 3 ft","Enjoy a new garbage disposal with a cord up to 3 ft long for easy installation. We'll ensure it's wired correctly and safely grounded, providing reliable power for smooth operation in your kitchen.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_4,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Appliances,"","",olit_39e6a9667b414bd99dad1f92d525e1bd,"Install water softener outlet, GFCI protected, tap existing circuitry","Install a new outlet for your water softener with built-in ground-fault protection, tapping into your existing wiring for added safety in wet areas. This ensures your water softener operates safely and reliably while meeting all electrical standards.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_5,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Ballast Replacement,"","",olit_c1aa26c9aa924651a4e9bbbd730c7410,"Replace standard height, single 4 ft bulb, electronic, 120V or 277V ballast","Upgrade your lighting with a new electronic ballast for a safe and efficient 4 ft bulb. This modern setup ensures reliable performance and energy savings, compatible with both 120V and 277V systems.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_6,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Ballast Replacement,"","",olit_e3a9261cf487433984640751c7c04e1c,"Replace standard height, single 8 ft bulb, electronic, 120V or 277V ballast","Improve your lighting with an electronic ballast for an 8 ft bulb. Enjoy enhanced brightness and energy efficiency with this upgrade, suitable for 120V or 277V setups in your home.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_7,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Ballast Replacement,"","",olit_1abc6e92037d4d76a395a9c9f37f56c7,"Replace standard height, two 4 ft bulb, electronic, 120V or 277V ballast","Enhance your room's lighting with a new electronic ballast for two 4 ft bulbs. This upgrade provides better illumination and efficiency, supporting both 120V and 277V electrical systems.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_8,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Ballast Replacement,"","",olit_99b17cfb1b3a4130a63ed538373df07f,"Replace standard height, two 8 ft bulb, electronic, 120V or 277V ballast","Upgrade to a new electronic ballast for two 8 ft bulbs for improved lighting efficiency and performance. Perfect for 120V or 277V installations, ensuring brighter spaces with reduced energy consumption.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_9,false
