category,subcategory_1,uuid,name,description,part_number,price,cost,taxable,unit_of_measure,material_markup_enabled
Misc material,"",pbmat_747f64c161204c5f92bbbaf6f893fdb8,Wire nuts,"","",$25.00,$0.00,true,"",false
Misc material,"",pbmat_28967762dc1b4b4fb0b73ab34b1f185b,Miscellaneous Materials,"","",$0.00,$0.00,false,"",false
Misc material,"",pbmat_7d9416c38bc744d8b3f50f40fe9b9375,Roofing Materials,Taxable materials for roof repair,"",$0.00,$0.00,true,"",false
INVERTER,"",pbmat_2d29b269fa3b48cc92a99dfab8cfd812,Fronius Gen 24  10.kW inverter,"",,$3200.00,$0.00,false,,false
Kyocera solar panel - gently used,"",pbmat_ad9f47b29ed948148c975cfb17ac68f2,Kyocera solar panel,"",,$100.00,$52.00,false,,false
Solar Monitoring,"",pbmat_2b6d7d63f9c04f22be2b42b8851c184b,Envoy,Envoy S with Cell kit,"",$1550.00,$860.46,false,"",false
Misc material,"",pbmat_fa40c78aead14fbc90f798f94348e62d,Mids/Ends,"",,$15.00,$0.00,false,,false
Misc material,"",pbmat_20a0c5bf802e48089df8039863ff457a,Solar Panel ,REC295W,,$225.00,$0.00,false,,false
Misc material,"",pbmat_249dbbc6b84d4bd980def3520f2d6fff,ABB A145-30-11-84 - AC CONTACTOR,"","",$561.31,$509.37,false,"",false
Misc material,"",pbmat_f3cd0fc43d4940cf90c8977b13cf4959,MC4,"",,$10.00,$0.00,false,,false
Misc material,"",pbmat_b04ac59b36ca4e0fbf3e7501afb2c44d,CAP 205uF 750VDC 80A POLYPRPLN MTLD ALT,CAP 205uF 750VDC 80A POLYPRPLN MTLD ALT,,$143.00,$130.00,false,,false
INVERTER,"",pbmat_ccfd7f506c884a0ab95ddbe341cb3a49,Tesla Inverter,"",,$2380.00,$1836.00,false,,false
AES ,AES PARTS,pbmat_c17002a58e5f4755800bdb90e8f14cf1,ABB A145-30-11-84,ABB A145-30-11-84 contactor,,$560.31,$509.37,false,EACH,false
AES ,AES PARTS,pbmat_ea28a855529e40eeac3cb16c89b160e3,TE EV200HAANA 1-1618002-8,T E DC contactors,,$178.42,$162.20,false,EACH,false
AES ,AES PARTS,pbmat_b6a8c38ccad64d8eb11cc082b149a41c,Empast 4604N,Empast 4604N fans,,$63.69,$57.90,false,EACH,false
AES ,AES PARTS,pbmat_979b6f6e343d4bb19b7a1ed9f46ef6e5,CKE Z575PA80C,Surge suppressors,,$26.08,$23.71,false,EACH,false
AES ,AES PARTS,pbmat_e70a2799112c4f898f31c97fcec03697,SIBA 2066132.200,SIBA 200 A square,,$126.96,$115.42,false,EACH,false
AES ,AES PARTS,pbmat_1bf230e091094606b1fd10ed3345727b,SIBA 2066132.250,SIBA 250 A square,,$178.70,$162.45,false,EACH,false
AES ,AES PARTS,pbmat_a90578a5ac8345f0a276a2ee31bf37ce,SIBA 2066132.315,SIBA 315 A square,,$191.32,$173.93,false,EACH,false
AES ,AES PARTS,pbmat_5684c65cfd7a42bb8281ed9fa3ab8413,SIBA 2066132.400,SIBA 400 A square,,$209.63,$190.57,false,EACH,false
